#SAMPLE,R1 RAW READS,R2 RAW READS,TRIM INPUT READS,TRIM SURVIVING READS,TRIM SURVIVING READS %,INPUT READS,MAPPED READS (MQ10),MAPPED %,CHIMERIC %,MAPPED READS,DEDUPLICATED READS,DUPLICATES %,ON-TARGET,ON-TARGET 100BP PAD,ON-TARGET 500BP PAD,MEAN COVERAGE,MEDIAN COVERAGE,%_bases_above_10,%_bases_above_50,%_bases_above_100,%_bases_above_500
SRR3163213,109755192,109755192,109755192,106892571,97.30%,213785142,208192870,97.30%,0.16%,208192870,193204272,7.19%,59.60%,75.80%,81.10%,63.98,13,51.1,39.3,24.7,0.5
SRR3163215,110218974,110218974,110218974,106236653,96.30%,212473306,206446220,97.10%,0.15%,206446220,193632630,6.20%,59.30%,75.70%,81.30%,63.71,14,51.3,39.7,24.8,0.5
SRR3163217,104233607,104233607,104233607,100279393,96.20%,200558786,194864269,97.10%,0.17%,194864269,183390527,5.88%,59.40%,76.00%,81.70%,60.43,13,51.2,38.9,23.3,0.4
SRR3163219,79161168,79161168,79161168,77083607,97.30%,154167214,150240032,97.40%,0.16%,150240032,141901831,5.54%,61.10%,77.50%,82.70%,48.15,10,49.6,34,17.6,0.1
SRR3163221,110421070,110421070,110421070,104840301,94.90%,209680602,204363537,97.40%,0.20%,204363537,184341618,9.79%,59.10%,75.50%,81.10%,60.15,13,51.2,39.4,23.7,0.3
SRR3163223,80071815,80071815,80071815,76172632,95.10%,152345264,148471723,97.40%,0.17%,148471723,136685608,7.93%,59.80%,76.30%,81.80%,45.17,10,49.7,33.7,16.1,0.1
SRR3163225,114306781,114306781,114306781,111061139,97.10%,222122278,216410289,97.40%,0.23%,216410289,199019085,8.03%,60.80%,77.20%,82.30%,67,13,51.1,40,25.8,0.6
SRR3163227,110415170,110415170,110415170,107258015,97.10%,214516030,209051197,97.40%,0.18%,209051197,191843511,8.23%,60.60%,77.00%,82.20%,64.46,13,51,39.2,24.7,0.6
SRR3163229,95423960,95423960,95423960,91829472,96.20%,183658944,178337951,97.10%,0.17%,178337951,169236995,5.10%,58.90%,75.40%,81.20%,55.32,12,50.8,37.9,21.2,0.2
SRR3163231,113756681,113756681,113756681,109477450,96.20%,218954900,212572187,97.00%,0.15%,212572187,199427473,6.18%,59.30%,75.60%,81.10%,65.49,14,51.3,40.1,25.4,0.6
SRR3163233,137511071,137511071,137511071,132322531,96.20%,264645062,257241007,97.20%,0.15%,257241007,234065572,9.00%,59.10%,75.30%,80.70%,76.61,15,52,41.9,29.5,1
SRR3163235,74921047,74921047,74921047,72603836,96.90%,145207672,141346065,97.30%,0.17%,141346065,133549462,5.51%,60.40%,76.70%,81.90%,44.73,9,49.3,32.7,15.8,0.1
SRR3163237,98864610,98864610,98864610,95487550,96.50%,190975100,185626274,97.10%,0.16%,185626274,175437099,5.48%,59.60%,76.00%,81.50%,58.03,12,50.8,38.3,22.3,0.3
SRR3163604,100520874,100520874,100520874,95625550,95.10%,191251100,185766428,97.10%,0.66%,185766428,170287809,8.33%,54.50%,70.60%,77.60%,51.47,14,51.6,37.9,19.9,0.1
SRR3163605,107595209,107595209,107595209,102345842,95.10%,204691684,199007391,97.20%,0.66%,199007391,179103087,10.00%,55.90%,72.50%,79.60%,55.58,16,52,39.4,22.3,0.1
SRR3163647,129395625,129395625,129395625,123927013,95.70%,247854026,240582937,97.00%,0.69%,240582937,221129420,8.08%,53.90%,69.60%,75.90%,66.36,17,52.5,41.3,26.7,0.4
SRR3163648,110467531,110467531,110467531,105671923,95.60%,211343846,205329044,97.10%,0.83%,205329044,190710381,7.11%,55.40%,71.70%,78.40%,58.88,15,52,40,23.4,0.2
SRR3163651,99468626,99468626,99468626,95449120,95.90%,190898240,185656687,97.20%,0.18%,185656687,150873963,18.70%,55.50%,71.80%,78.10%,46.66,13,51,36.7,17.8,0
SRR3163652,91280684,91280684,91280684,87668381,96.00%,175336762,170345180,97.10%,0.18%,170345180,144291383,15.20%,54.90%,70.90%,77.30%,44.1,12,50.6,35.3,16,0
SRR3163653,104956818,104956818,104956818,100312916,95.50%,200625832,195019905,97.20%,0.20%,195019905,169973332,12.80%,54.90%,71.10%,77.60%,51.89,14,51.4,38.3,20.5,0
SRR3163663,134696553,134696553,134696553,127709373,94.80%,255418746,248299544,97.20%,0.24%,248299544,202327971,18.50%,54.30%,70.50%,77.30%,60.63,17,52.6,41.5,26.1,0
SRR3163666,110345740,110345740,110345740,105620224,95.70%,211240448,205295268,97.10%,0.27%,205295268,174524852,14.90%,53.80%,69.90%,77.00%,52.19,15,51.9,39,21,0
SRR3163678,106823828,106823828,106823828,102433133,95.80%,204866266,199266276,97.20%,0.24%,199266276,182946278,8.19%,53.80%,69.90%,77.10%,54.73,15,52,39.3,21.6,0.1
SRR3163680,107518550,107518550,107518550,103007408,95.80%,206014816,200348265,97.20%,0.26%,200348265,184776623,7.77%,53.80%,69.90%,77.00%,55.31,15,51.9,39.3,21.9,0.1
SRR3163705,92190602,92190602,92190602,89133471,96.60%,178266942,173163305,97.10%,0.18%,173163305,161552831,6.70%,57.20%,73.20%,79.00%,51.22,12,50.6,36.6,19.2,0.1
SRR3163707,104105777,104105777,104105777,99691436,95.70%,199382872,193578528,97.00%,0.44%,193578528,177283269,8.41%,56.30%,72.00%,77.90%,55.24,13,51.2,38.1,21.4,0.2
SRR3163708,120760780,120760780,120760780,114997033,95.20%,229994066,223395927,97.10%,0.39%,223395927,198626844,11.00%,55.50%,71.30%,77.70%,61.04,15,52.1,40.7,24.9,0.2
SRR3163709,96910379,96910379,96910379,92340103,95.20%,184680206,179326884,97.10%,0.38%,179326884,160566723,10.40%,55.20%,70.80%,77.00%,49.02,12,50.9,36.5,18.5,0.1
SRR3163711,92631844,92631844,92631844,88896317,95.90%,177792634,172657712,97.10%,0.37%,172657712,156395220,9.41%,55.70%,71.40%,77.50%,48.32,12,50.8,36.1,18,0
SRR3163717,130458658,130458658,130458658,126680842,97.10%,253361684,246790681,97.40%,0.16%,246790681,229748719,6.90%,59.10%,75.50%,81.20%,75.6,16,52.1,42.3,29.6,0.9
SRR3163722,112807269,112807269,112807269,109940952,97.40%,219881904,213775185,97.20%,0.22%,213775185,197963141,7.39%,59.00%,75.30%,80.80%,64.29,15,51.8,40.6,25.5,0.4
SRR4188879,96650312,96650312,96650312,92882902,96.10%,185765804,180706743,97.20%,0.23%,180706743,166241479,8.00%,56.80%,72.90%,78.70%,52.28,12,50.5,37,19.7,0.2
SRR4188880,91914485,91914485,91914485,89728297,97.60%,179456594,174338025,97.10%,0.17%,174338025,162768841,6.63%,58.10%,74.10%,79.70%,52.01,12,50.8,37.5,20.3,0.1
SRR4188882,102068928,102068928,102068928,99689267,97.60%,199378534,193435077,97.00%,0.16%,193435077,182365760,5.72%,57.90%,73.70%,79.20%,58.02,13,51.3,38.8,23,0.1
SRR4188884,126272410,126272410,126272410,123104349,97.40%,246208698,239037801,97.00%,0.14%,239037801,219540113,8.15%,58.50%,74.70%,80.20%,70.45,16,52.1,42.1,28.5,0.4
SRR4188886,123596883,123596883,123596883,120452444,97.40%,240904888,233818852,97.00%,0.17%,233818852,215679471,7.75%,58.70%,75.10%,80.70%,69.55,16,52.1,42.3,28.5,0.3
SRR4188888,122488377,122488377,122488377,119641643,97.60%,239283286,232224990,97.00%,0.15%,232224990,216388777,6.81%,58.20%,74.20%,79.60%,69.23,16,52,41.9,27.9,0.4
SRR4188890,99789633,99789633,99789633,97461222,97.60%,194922444,189350214,97.10%,0.16%,189350214,177163938,6.43%,58.30%,74.50%,80.20%,56.78,14,51.3,39.2,22.6,0.1
SRR4188892,98501540,98501540,98501540,96114276,97.50%,192228552,186589417,97.00%,0.13%,186589417,175182133,6.11%,59.00%,75.20%,80.60%,56.72,13,50.9,39.1,22.6,0.1
SRR4188894,101044157,101044157,101044157,98497586,97.40%,196995172,191383133,97.10%,0.17%,191383133,178480057,6.74%,58.90%,75.20%,80.80%,57.7,14,51.3,39.4,23.1,0.1
SRR4188896,93686213,93686213,93686213,91236334,97.30%,182472668,177206465,97.10%,0.16%,177206465,166616759,5.97%,58.00%,74.10%,79.80%,53.05,13,51,38.3,20.7,0.1
SRR4188898,112807039,112807039,112807039,109981037,97.40%,219962074,213303218,96.90%,0.15%,213303218,199880256,6.29%,58.00%,73.70%,79.00%,63.57,14,51.4,40.4,25.4,0.2
SRR4188900,103809830,103809830,103809830,101084846,97.30%,202169692,196654309,97.20%,0.14%,196654309,181347624,7.78%,59.30%,75.80%,81.20%,59.07,14,51.2,39.8,23.8,0.1
SRR4188903,117540103,117540103,117540103,114547209,97.40%,229094418,222226680,97.00%,0.15%,222226680,206260375,7.18%,58.00%,74.00%,79.50%,65.66,15,51.8,41.4,26.5,0.3
SRR4188905,108961969,108961969,108961969,106134231,97.40%,212268462,205724503,96.90%,0.13%,205724503,191633287,6.84%,58.60%,74.70%,80.00%,61.59,14,51.4,40,24.6,0.2
SRR4188907,97553397,97553397,97553397,95080076,97.40%,190160152,184634612,97.00%,0.15%,184634612,173649921,5.94%,58.20%,74.40%,80.00%,55.53,13,51.1,38.7,22,0.1
SRR4188909,100291711,100291711,100291711,97809973,97.50%,195619946,189659168,96.90%,0.14%,189659168,177970762,6.16%,58.20%,74.10%,79.50%,56.84,13,51,38.5,22.5,0.1
SRR4188911,106922514,106922514,106922514,104183998,97.40%,208367996,202432263,97.10%,0.16%,202432263,188969122,6.65%,58.30%,74.50%,80.20%,60.5,15,51.6,40.5,24.4,0.2
SRR4188914,96639687,96639687,96639687,93575277,96.80%,187150554,181736155,97.10%,0.17%,181736155,169865626,6.53%,58.00%,74.20%,79.80%,54.01,13,51,38.1,21.2,0.1
SRR4188916,108752351,108752351,108752351,105625818,97.10%,211251636,205084714,97.00%,0.17%,205084714,192058831,6.35%,58.50%,74.60%,80.00%,61.5,14,51.4,40.3,24.7,0.2
SRR4188917,100886162,100886162,100886162,97639563,96.70%,195279126,189572855,97.00%,0.15%,189572855,177296286,6.47%,57.80%,73.90%,79.60%,56.19,13,51.2,39,22.3,0.1
SRR4188919,93740026,93740026,93740026,90811038,96.80%,181622076,176080151,96.90%,0.16%,176080151,167066392,5.11%,57.30%,73.10%,78.60%,52.42,12,50.8,37.1,20.3,0.1
SRR4188922,91335757,91335757,91335757,88471922,96.80%,176943844,171749400,97.00%,0.14%,171749400,162745619,5.24%,57.80%,73.80%,79.40%,51.54,12,50.6,37.2,19.9,0.1
SRR4188924,126411336,126411336,126411336,122478969,96.80%,244957938,237686650,97.00%,0.16%,237686650,221356771,6.87%,57.50%,73.30%,78.70%,69.72,16,51.9,41.9,27.9,0.4
SRR4188926,101896772,101896772,101896772,99069248,97.20%,198138496,192015269,96.90%,0.14%,192015269,180855458,5.81%,57.70%,73.80%,79.50%,57.28,14,51.3,39.3,22.8,0.1
SRR4188928,120118149,120118149,120118149,116973366,97.30%,233946732,227061316,97.00%,0.15%,227061316,211307700,6.93%,57.50%,73.40%,79.00%,66.6,16,52,41.4,26.9,0.3
SRR4188930,100680349,100680349,100680349,97929000,97.20%,195858000,189996419,97.00%,0.16%,189996419,178783766,5.90%,58.40%,74.50%,80.00%,57.2,13,51.1,39.5,22.8,0.1
SRR4188932,121791951,121791951,121791951,118419725,97.20%,236839450,229572791,96.90%,0.14%,229572791,213803744,6.86%,57.70%,73.70%,79.20%,67.66,16,52,41.5,27.3,0.4
SRR4188934,115726786,115726786,115726786,112594321,97.20%,225188642,218098300,96.80%,0.15%,218098300,204644109,6.16%,57.90%,73.70%,79.00%,64.94,14,51.6,40.9,26.1,0.3
SRR4188936,114675761,114675761,114675761,111649655,97.30%,223299310,216793233,97.00%,0.16%,216793233,202405326,6.63%,58.00%,74.20%,79.80%,64.45,15,51.9,41,26,0.2
SRR4188938,119336453,119336453,119336453,115980823,97.10%,231961646,225034669,97.00%,0.14%,225034669,210418853,6.49%,57.60%,73.50%,79.00%,66.48,15,51.9,41.5,26.9,0.3
SRR4188940,114777710,114777710,114777710,111551456,97.10%,223102912,216100509,96.80%,0.17%,216100509,202683283,6.20%,57.40%,73.20%,78.60%,63.74,15,51.6,40.8,25.5,0.3
SRR4188942,116254918,116254918,116254918,113030757,97.20%,226061514,218980938,96.80%,0.14%,218980938,205045244,6.36%,58.40%,74.50%,80.00%,65.61,15,51.7,41.2,26.5,0.3
SRR4188944,93897759,93897759,93897759,91412108,97.30%,182824216,177360074,97.00%,0.13%,177360074,168139534,5.19%,57.10%,72.90%,78.40%,52.66,12,50.8,37.9,20.5,0.1
SRR4188946,113535128,113535128,113535128,110404165,97.20%,220808330,214393163,97.00%,0.14%,214393163,201332369,6.09%,57.80%,73.80%,79.30%,63.86,15,51.6,40.9,25.7,0.2
SRR4188949,104228831,104228831,104228831,101344141,97.20%,202688282,196527144,96.90%,0.13%,196527144,185544868,5.58%,57.60%,73.50%,79.00%,58.59,13,51.2,39.5,23.3,0.2
SRR4188951,108240746,108240746,108240746,105310532,97.20%,210621064,204351475,97.00%,0.15%,204351475,189997851,7.02%,58.60%,74.80%,80.20%,61.05,14,51.4,40.2,24.6,0.2
SRR4188953,116922076,116922076,116922076,113664146,97.20%,227328292,220238360,96.80%,0.13%,220238360,205334886,6.76%,58.10%,74.30%,79.80%,65.48,15,51.8,41.2,26.5,0.3
SRR4188955,112489726,112489726,112489726,109447747,97.20%,218895494,212602478,97.10%,0.13%,212602478,199089811,6.35%,57.80%,73.80%,79.40%,63.13,15,51.6,41,25.6,0.2
SRR4188956,105278312,105278312,105278312,101993248,96.80%,203986496,197497609,96.80%,0.13%,197497609,186518131,5.55%,57.70%,73.60%,79.00%,58.98,13,51.1,39.2,23.4,0.2
SRR4188957,115596864,115596864,115596864,112383021,97.20%,224766042,218423783,97.10%,0.15%,218423783,203846672,6.67%,57.70%,73.90%,79.50%,64.55,15,51.8,41.2,26.2,0.3
SRR4188959,128168623,128168623,128168623,124814194,97.30%,249628388,242709841,97.20%,0.14%,242709841,221749819,8.63%,58.60%,75.00%,80.60%,71.33,16,52.1,42.4,29.3,0.4
SRR4188961,93754288,93754288,93754288,90772663,96.80%,181545326,176097767,96.90%,0.14%,176097767,165153148,6.21%,58.00%,74.20%,80.00%,52.5,13,51,37.6,20.3,0.1
SRR4188962,108982557,108982557,108982557,105482942,96.70%,210965884,204526229,96.90%,0.13%,204526229,191353197,6.44%,56.60%,72.50%,78.40%,59.36,15,51.7,39.7,23.6,0.2
SRR4189006,112062601,112062601,112062601,109188097,97.40%,218376194,212244649,97.10%,0.21%,212244649,198179144,6.62%,58.80%,74.80%,80.00%,77.49,16,52.3,42.7,30.7,0.7
SRR4189008,111897010,111897010,111897010,108870982,97.20%,217741964,211638028,97.10%,0.20%,211638028,198823135,6.05%,57.90%,73.70%,79.00%,76.63,17,52.4,42.7,30.4,0.7
SRR4189010,104713382,104713382,104713382,102066194,97.40%,204132388,198152289,97.00%,0.13%,198152289,187463542,5.39%,58.00%,73.60%,78.50%,72.32,15,51.7,41.5,28.5,0.6
SRR4189012,107831791,107831791,107831791,105097442,97.40%,210194884,204129288,97.10%,0.18%,204129288,192175956,5.85%,59.10%,75.10%,80.20%,75.56,16,52,42.3,30,0.7
SRR4189014,106129310,106129310,106129310,103375527,97.40%,206751054,200766238,97.10%,0.21%,200766238,189950650,5.38%,58.90%,74.90%,80.10%,74.58,16,52.1,42.6,29.8,0.6
SRR4189016,91883896,91883896,91883896,89413783,97.30%,178827566,173703678,97.10%,0.19%,173703678,164840892,5.10%,58.70%,74.50%,79.70%,64.26,14,51.3,40.3,25.6,0.3
SRR4189018,117471047,117471047,117471047,114401126,97.30%,228802252,222343861,97.10%,0.16%,222343861,209261161,5.88%,58.00%,73.70%,78.90%,80.82,17,52.5,43.1,31.7,0.9
SRR4189020,115227448,115227448,115227448,111957201,97.10%,223914402,217282509,97.00%,0.20%,217282509,201792134,7.12%,57.90%,73.60%,78.90%,77.75,17,52.5,43,30.8,0.7
SRR4189022,106013597,106013597,106013597,103283752,97.40%,206567504,200873689,97.20%,0.22%,200873689,186973321,6.91%,59.70%,75.80%,80.90%,74.15,15,51.9,42.5,29.8,0.5
SRR4189024,108602726,108602726,108602726,105731778,97.30%,211463556,205565151,97.20%,0.20%,205565151,191686340,6.75%,59.40%,75.40%,80.50%,75.52,16,52.1,42.3,29.8,0.6
SRR4189028,110391137,110391137,110391137,107245099,97.10%,214490198,208695804,97.20%,0.20%,208695804,197067183,5.57%,58.60%,74.60%,79.90%,76.84,17,52.3,43,30.7,0.7
SRR4189031,110345279,110345279,110345279,107178880,97.10%,214357760,208335934,97.10%,0.18%,208335934,196036678,5.90%,58.00%,73.90%,79.40%,75.68,17,52.5,42.6,30.1,0.6
SRR4189033,113787010,113787010,113787010,110917981,97.40%,221835962,215629566,97.20%,0.16%,215629566,202529466,6.07%,58.10%,73.90%,79.10%,78.42,17,52.4,43.1,31.1,0.8
SRR4189035,91106060,91106060,91106060,88735902,97.30%,177471804,172486729,97.10%,0.23%,172486729,163791733,5.04%,57.70%,73.50%,78.90%,63.13,14,51.5,40.6,25.3,0.3
SRR4189037,114748294,114748294,114748294,111624430,97.20%,223248860,216938725,97.10%,0.18%,216938725,203612037,6.14%,58.10%,73.90%,79.20%,78.7,17,52.4,42.8,31.1,0.8
SRR4189040,106343687,106343687,106343687,103466585,97.20%,206933170,201216282,97.20%,0.22%,201216282,189280485,5.93%,58.50%,74.30%,79.50%,73.58,15,51.9,42.3,29.4,0.6
SRR4189042,102513249,102513249,102513249,99766282,97.30%,199532564,193794920,97.10%,0.19%,193794920,182812395,5.66%,58.20%,74.00%,79.30%,71.05,15,52,41.8,28.4,0.5
SRR4189045,130826525,130826525,130826525,127026288,97.00%,254052576,246681255,97.00%,0.19%,246681255,229548101,6.94%,58.20%,74.20%,79.60%,89,20,53.3,44.2,34.3,1.3
SRR4189047,109595987,109595987,109595987,106758330,97.40%,213516660,207561264,97.20%,0.20%,207561264,194184347,6.44%,58.40%,74.20%,79.50%,75.38,16,52.3,42.3,29.7,0.6
SRR4189049,114061839,114061839,114061839,111084593,97.30%,222169186,216036826,97.20%,0.17%,216036826,203444857,5.82%,58.00%,73.80%,79.10%,78.93,17,52.5,43,31.1,0.8
SRR4189288,121390437,121390437,121390437,118372877,97.50%,236745754,230069300,97.10%,0.20%,230069300,215324868,6.40%,57.70%,73.60%,79.10%,68.48,16,52.1,41.4,27.2,0.5
SRR4189291,119901633,119901633,119901633,117385438,97.90%,234770876,228227472,97.20%,0.18%,228227472,210696696,7.68%,59.00%,75.10%,80.40%,68.5,15,51.9,41.3,27.1,0.5
SRR4189293,111552676,111552676,111552676,109232757,97.90%,218465514,212335432,97.10%,0.20%,212335432,196908605,7.26%,58.70%,74.70%,80.00%,63.74,14,51.6,40,24.9,0.4
SRR4189295,130002535,130002535,130002535,126740492,97.40%,253480984,246220276,97.10%,0.20%,246220276,227147031,7.74%,58.80%,74.90%,80.20%,73.58,16,52.2,42.4,29,0.7
SRR4189299,152418105,152418105,152418105,149239608,97.90%,298479216,290013115,97.10%,0.20%,290013115,264548748,8.78%,58.90%,74.90%,80.20%,85.93,19,53,44,33,1.2
SRR4189300,114840892,114840892,114840892,112499892,97.90%,224999784,218610117,97.10%,0.17%,218610117,202466207,7.38%,59.20%,75.30%,80.60%,66.04,15,51.7,40.7,26.1,0.4
SRR4189302,117566710,117566710,117566710,115099031,97.90%,230198062,223628226,97.10%,0.18%,223628226,205144201,8.26%,58.90%,75.00%,80.30%,66.65,15,51.8,41.2,26.5,0.4
SRR4189306,127958380,127958380,127958380,125110124,97.70%,250220248,243185820,97.10%,0.23%,243185820,223828581,7.95%,58.30%,74.40%,79.80%,72.05,16,52.2,42.2,28.6,0.6
SRR4189308,103992403,103992403,103992403,101694959,97.70%,203389918,197720612,97.20%,0.22%,197720612,185383211,6.23%,58.90%,74.90%,80.30%,60.17,14,51.3,39.5,23.7,0.2
SRR4189309,119644738,119644738,119644738,116945190,97.70%,233890380,227664977,97.30%,0.21%,227664977,210011458,7.75%,59.20%,75.50%,80.90%,68.63,15,51.9,41.7,27.4,0.4
SRR4189312,124777662,124777662,124777662,121651359,97.40%,243302718,236257927,97.10%,0.19%,236257927,218376483,7.56%,59.10%,75.20%,80.40%,70.98,15,51.9,41.5,28,0.6
SRR4189313,103936488,103936488,103936488,101322365,97.40%,202644730,197073083,97.20%,0.20%,197073083,184390475,6.43%,58.70%,74.70%,80.00%,59.52,13,51.1,39.2,23.4,0.2
SRR4189315,135025682,135025682,135025682,131558955,97.40%,263117910,255702385,97.10%,0.19%,255702385,236343174,7.57%,59.10%,75.20%,80.60%,76.84,17,52.4,42.7,30.1,0.8
SRR4189317,137234832,137234832,137234832,134229659,97.80%,268459318,260688291,97.10%,0.20%,260688291,238546510,8.49%,59.40%,75.50%,80.80%,78.09,17,52.5,42.6,30.3,0.9
SRR4189319,101966378,101966378,101966378,99400061,97.40%,198800122,193135865,97.10%,0.20%,193135865,180668122,6.45%,58.40%,74.50%,79.90%,57.98,13,51.3,39.1,22.7,0.2
SRR4189321,138883333,138883333,138883333,135787723,97.70%,271575446,264020849,97.20%,0.20%,264020849,243204911,7.88%,58.40%,74.40%,79.80%,78.31,18,52.8,42.9,30.6,0.9
SRR4189322,119059818,119059818,119059818,116101073,97.50%,232202146,225658724,97.10%,0.18%,225658724,209303823,7.24%,58.20%,74.00%,79.40%,66.82,15,51.8,41.2,26.6,0.4
SRR4189325,132627740,132627740,132627740,129769291,97.80%,259538582,252056898,97.10%,0.17%,252056898,231880115,8.00%,59.00%,75.00%,80.20%,75.35,16,52.2,42.3,29.6,0.8
SRR4189328,120497925,120497925,120497925,117515787,97.50%,235031574,228316400,97.10%,0.18%,228316400,211926168,7.17%,58.90%,74.80%,80.00%,68.46,15,51.8,41.1,27.1,0.5
SRR4189330,152558241,152558241,152558241,148567048,97.30%,297134096,288801573,97.10%,0.21%,288801573,263130174,8.88%,58.70%,74.70%,80.20%,84.78,19,53.3,43.8,32.6,1.2
SRR4189332,141222940,141222940,141222940,138080203,97.70%,276160406,268568616,97.20%,0.17%,268568616,245379286,8.63%,59.20%,75.50%,80.90%,80.09,18,52.8,43.2,31.3,1
SRR4189335,121094475,121094475,121094475,118219244,97.60%,236438488,229751737,97.10%,0.18%,229751737,211979982,7.73%,58.50%,74.50%,80.00%,68.3,16,52.1,41.4,27.2,0.5
SRR4189337,99345555,99345555,99345555,97028162,97.60%,194056324,188682465,97.20%,0.18%,188682465,175599736,6.93%,59.30%,75.50%,80.80%,57.39,13,51.1,39,22.5,0.2
SRR4189339,122798816,122798816,122798816,118830295,96.70%,237660590,230979182,97.10%,0.19%,230979182,213494540,7.56%,59.10%,75.30%,80.60%,69.33,15,51.9,41.7,27.6,0.5
SRR4189345,129058649,129058649,129058649,125988474,97.60%,251976948,244873752,97.10%,0.18%,244873752,224413432,8.35%,59.10%,75.20%,80.60%,73.02,16,52.3,42.2,28.9,0.6
SRR4189346,120582430,120582430,120582430,116916233,96.90%,233832466,227196248,97.10%,0.15%,227196248,209155711,7.94%,59.50%,75.50%,80.50%,68.26,14,51.5,41,27,0.5
SRR4189348,138252434,138252434,138252434,133820359,96.70%,267640718,260205088,97.20%,0.11%,260205088,239225226,8.06%,58.90%,75.10%,80.60%,77.35,18,52.6,43.1,30.9,0.8
SRR4189350,97394171,97394171,97394171,94296564,96.80%,188593128,183156003,97.10%,0.18%,183156003,172213197,5.97%,58.80%,74.90%,80.20%,55.39,12,50.8,38.1,21.5,0.2
SRR4189357,109406921,109406921,109406921,105855841,96.70%,211711682,205594554,97.10%,0.20%,205594554,191144357,7.02%,58.10%,74.20%,79.80%,60.86,14,51.5,40.3,24.3,0.2
SRR4189361,112934033,112934033,112934033,109460894,96.90%,218921788,212454918,97.00%,0.19%,212454918,197950912,6.82%,58.90%,75.00%,80.30%,63.79,14,51.4,40.3,25.3,0.4
SRR4189363,115740372,115740372,115740372,112077998,96.80%,224155996,217827461,97.10%,0.19%,217827461,202378601,7.09%,58.90%,75.10%,80.40%,65.28,14,51.6,40.9,26,0.4
SRR4189365,102588554,102588554,102588554,99157515,96.60%,198315030,192702192,97.10%,0.18%,192702192,180440470,6.36%,59.10%,75.40%,80.80%,58.35,13,51.2,39.2,22.9,0.2
SRR4189366,106850746,106850746,106850746,103453779,96.80%,206907558,200821963,97.00%,0.14%,200821963,188449529,6.16%,59.30%,75.20%,80.20%,61.04,13,50.9,39.1,23.8,0.3
SRR4189369,112030939,112030939,112030939,108277717,96.60%,216555434,210302072,97.10%,0.14%,210302072,196151030,6.72%,59.00%,75.10%,80.20%,63.32,13,51.3,40,25,0.4
SRR4189372,111512403,111512403,111512403,107880388,96.70%,215760776,209477104,97.00%,0.15%,209477104,194217981,7.28%,59.20%,75.40%,80.50%,62.94,13,51.2,40,24.8,0.4
SRR4189374,108892300,108892300,108892300,105343237,96.70%,210686474,204577612,97.10%,0.15%,204577612,190861983,6.70%,59.60%,75.70%,80.90%,62.15,13,51.2,39.6,24.4,0.4
SRR4189376,99846372,99846372,99846372,96400739,96.50%,192801478,186928207,96.90%,0.15%,186928207,176032933,5.82%,59.60%,75.70%,80.70%,57.35,12,50.6,38.5,22.3,0.2
SRR4189507,120603508,120603508,120603508,108846819,90.20%,217693638,211397248,97.10%,0.13%,211397248,196200117,7.18%,60.20%,76.30%,81.10%,63.9,12,50.7,39.5,24.8,0.5
SRR4189510,123828199,123828199,123828199,111496414,90.00%,222992828,216982029,97.30%,0.12%,216982029,202009716,6.90%,60.20%,76.50%,81.40%,65.9,13,51,40.4,25.9,0.5
SRR4189513,111832631,111832631,111832631,103519060,92.50%,207038120,201249552,97.20%,0.12%,201249552,186397145,7.38%,60.30%,76.60%,81.50%,61.2,12,50.7,39.1,23.8,0.4
SRR4189515,119231222,119231222,119231222,107515065,90.10%,215030130,208976626,97.10%,0.13%,208976626,194928747,6.72%,60.20%,76.40%,81.20%,63.51,12,50.7,39.2,24.5,0.5
SRR4189517,107209885,107209885,107209885,97035690,90.50%,194071380,188577748,97.10%,0.13%,188577748,178917647,5.12%,59.10%,75.00%,79.90%,57.24,11,50.3,38.1,22,0.3
SRR4189519,116843741,116843741,116843741,108250141,92.60%,216500282,210382095,97.10%,0.15%,210382095,198853313,5.47%,57.60%,73.40%,78.50%,62.41,13,51,39.8,24.5,0.4
SRR4189521,115674205,115674205,115674205,107112041,92.50%,214224082,208296941,97.20%,0.16%,208296941,193847705,6.93%,59.20%,75.30%,80.50%,62.48,13,51,39.9,24.6,0.4
SRR4189523,103652141,103652141,103652141,99436490,95.90%,198872980,193202006,97.10%,0.22%,193202006,179333526,7.17%,59.70%,75.90%,80.90%,58.37,12,50.6,38.5,22.5,0.3
SRR4189525,115981234,115981234,115981234,111211489,95.80%,222422978,216054748,97.10%,0.18%,216054748,201735081,6.62%,58.40%,74.40%,79.60%,64.3,13,51.2,40,25.2,0.5
SRR4189527,116049179,116049179,116049179,111221150,95.80%,222442300,216264529,97.20%,0.16%,216264529,201655978,6.75%,58.70%,74.70%,79.90%,64.61,13,51.2,40.1,25.4,0.5
SRR4189529,118489542,118489542,118489542,114345650,96.50%,228691300,222448546,97.20%,0.16%,222448546,206084029,7.35%,58.60%,74.60%,79.90%,66.14,14,51.5,40.5,26,0.5
SRR4189531,119071006,119071006,119071006,114199148,95.90%,228398296,221951247,97.10%,0.16%,221951247,206073343,7.15%,58.70%,74.70%,79.80%,66.01,13,51.3,40.2,25.8,0.5
SRR4189533,103639213,103639213,103639213,99429812,95.90%,198859624,193228109,97.10%,0.16%,193228109,181303165,6.17%,58.90%,75.00%,80.10%,58.28,12,50.8,38.2,22.4,0.3
