#SAMPLE,R1 RAW READS,R2 RAW READS,TRIM INPUT READS,TRIM SURVIVING READS,TRIM SURVIVING READS %,INPUT READS,MAPPED READS (MQ10),MAPPED %,CHIMERIC %,MAPPED READS,DEDUPLICATED READS,DUPLICATES %,ON-TARGET,ON-TARGET 100BP PAD,ON-TARGET 500BP PAD,MEAN COVERAGE,MEDIAN COVERAGE,%_bases_above_10,%_bases_above_50,%_bases_above_100,%_bases_above_500
SRR2129134,96864643,96864643,96864643,93157730,96.10%,186315460,180537270,96.80%,0.48%,180537270,167233803,7.36%,57.50%,73.30%,78.70%,53.15,11,50.5,37,20.1,0.2
SRR2129136,104946155,104946155,104946155,100789055,96.00%,201578110,195500396,96.90%,0.55%,195500396,181173730,7.32%,57.40%,73.40%,78.90%,57.5,12,50.9,38.6,22.2,0.3
SRR2129138,115030285,115030285,115030285,111404057,96.80%,222808114,215961368,96.90%,0.58%,215961368,201955935,6.48%,56.90%,72.80%,78.80%,63.78,15,51.9,40.2,24.8,0.5
SRR2129140,134303101,134303101,134303101,127682003,95.00%,255364006,248473055,97.30%,0.16%,248473055,225964334,9.05%,56.20%,71.80%,77.80%,70.42,17,52.5,41.9,28.2,0.6
SRR2129142,80328912,80328912,80328912,77188724,96.00%,154377448,149364174,96.70%,0.48%,149364174,141267445,5.42%,56.80%,72.50%,77.90%,44.26,10,49.6,32.8,15.3,0.1
SRR2129144,177590826,177590826,177590826,155661731,87.60%,311323462,303084379,97.30%,0.18%,303084379,271822633,10.30%,56.50%,72.40%,78.30%,84.93,20,53.5,43.9,33.2,1.2
SRR2129146,64411180,64411180,64411180,54847826,85.10%,109695652,106652412,97.20%,0.11%,106652412,100310007,5.94%,57.80%,73.80%,79.30%,31.64,7,47.8,25.4,8.3,0
SRR2129148,73479059,73479059,73479059,70634075,96.10%,141268150,136791473,96.80%,0.53%,136791473,128730096,5.89%,58.10%,74.00%,79.30%,41.29,9,49.1,31.3,13.8,0
SRR2129150,109300711,109300711,109300711,105047077,96.10%,210094154,203347603,96.70%,0.52%,203347603,188227462,7.43%,57.10%,72.90%,78.40%,59.44,13,51.1,39,23,0.3
SRR2129152,101828790,101828790,101828790,98775506,97.00%,197551012,191088496,96.70%,0.60%,191088496,181558075,4.98%,55.80%,71.30%,77.10%,56.12,13,51,37.8,21.2,0.3
SRR2129154,93274725,93274725,93274725,90392221,96.90%,180784442,175218784,96.90%,0.66%,175218784,162734974,7.12%,56.60%,72.50%,78.30%,51.17,12,50.7,36.5,19.2,0.1
SRR2129156,89545481,89545481,89545481,86859782,97.00%,173719564,168204903,96.80%,0.39%,168204903,159068334,5.43%,55.90%,71.60%,77.70%,49.34,12,50.7,35.5,17.9,0.2
SRR2129158,108145282,108145282,108145282,103853400,96.00%,207706800,200809223,96.60%,0.48%,200809223,187679934,6.53%,56.20%,71.70%,77.30%,58.18,13,51.1,38.4,22.4,0.3
SRR2129160,67924097,67924097,67924097,66070391,97.20%,132140782,128006746,96.80%,0.58%,128006746,122210846,4.52%,54.90%,70.30%,76.20%,37.22,9,49,28.5,11.3,0
SRR2129162,93919590,93919590,93919590,91084773,96.90%,182169546,176252622,96.70%,0.64%,176252622,167089979,5.19%,55.30%,70.80%,76.90%,51.24,12,50.9,36.3,18.7,0.2
SRR2129164,104204875,104204875,104204875,100933251,96.80%,201866502,195641720,96.90%,0.50%,195641720,185526896,5.17%,55.70%,71.30%,77.20%,57.31,13,51.3,37.9,21.7,0.3
SRR2129166,114216933,114216933,114216933,108429888,94.90%,216859776,209752433,96.70%,0.57%,209752433,199146161,5.05%,55.00%,70.50%,76.20%,60.21,13,51.4,38.8,23,0.4
SRR2129168,89665114,89665114,89665114,85048544,94.80%,170097088,164835780,96.90%,0.54%,164835780,156641308,4.97%,55.90%,71.70%,77.70%,48.17,11,50.4,35.2,17.2,0.1
SRR2129170,101522866,101522866,101522866,97322598,95.80%,194645196,189098390,97.10%,0.39%,189098390,167336445,11.50%,55.80%,71.60%,77.60%,51.79,13,51.1,37.6,20.1,0.1
SRR2129172,92078578,92078578,92078578,89173219,96.80%,178346438,172501960,96.70%,0.65%,172501960,163612905,5.15%,55.90%,71.60%,77.40%,50.72,12,50.6,35.8,18.5,0.2
SRR2129174,113705146,113705146,113705146,110201398,96.90%,220402796,213760314,96.90%,0.56%,213760314,197368876,7.66%,56.60%,72.50%,78.30%,62.06,14,51.7,39.8,24.3,0.4
SRR2129176,156713623,156713623,156713623,147669168,94.20%,295338336,286804763,97.10%,0.18%,286804763,261203523,8.92%,56.40%,72.00%,77.80%,81.02,18,52.8,43.1,31.7,1.2
SRR2129178,101424890,101424890,101424890,95262120,93.90%,190524240,185235722,97.20%,0.18%,185235722,171881385,7.20%,57.90%,74.00%,79.70%,54.63,12,50.8,37.6,20.9,0.2
SRR2129180,115619649,115619649,115619649,112202189,97.00%,224404378,217509800,96.90%,0.30%,217509800,201374762,7.41%,57.50%,73.60%,79.50%,64.4,15,51.8,40.1,25.1,0.5
SRR2129182,106233888,106233888,106233888,103662547,97.50%,207325094,201854041,97.30%,0.43%,201854041,177747784,11.90%,56.20%,72.00%,78.20%,55.81,14,51.6,38.8,22.1,0.1
SRR2129184,101871670,101871670,101871670,98613985,96.80%,197227970,191144098,96.90%,0.60%,191144098,180103557,5.77%,57.40%,73.40%,79.50%,57.27,13,51.3,38.3,21.7,0.3
SRR2129186,107482952,107482952,107482952,104531050,97.20%,209062100,202843231,97.00%,0.51%,202843231,191212769,5.73%,55.10%,70.50%,76.60%,58.48,14,51.6,38.4,22.2,0.4
SRR2129188,102871241,102871241,102871241,97685557,94.90%,195371114,189091232,96.70%,0.54%,189091232,179181540,5.24%,56.10%,71.80%,77.40%,55.29,12,50.9,37.3,20.8,0.3
SRR2129190,98594656,98594656,98594656,94666997,96.00%,189333994,183901164,97.10%,0.44%,183901164,166192898,9.62%,56.00%,71.70%,77.70%,51.61,13,51,37.5,19.8,0.1
SRR2129192,112901779,112901779,112901779,107999413,95.60%,215998826,209334043,96.90%,0.50%,209334043,198638659,5.10%,55.80%,71.40%,77.30%,61.1,14,51.5,39.1,23.5,0.5
SRR2129194,147421771,147421771,147421771,140338632,95.10%,280677264,272749591,97.10%,0.18%,272749591,251305988,7.86%,56.70%,72.40%,78.10%,78.44,17,52.7,42.8,30.9,1
SRR2129196,83161052,83161052,83161052,80695656,97.00%,161391312,155936506,96.60%,0.63%,155936506,148360349,4.85%,54.30%,69.40%,75.40%,44.66,11,50.2,33.2,15.4,0.1
SRR2129198,68156913,68156913,68156913,66018725,96.80%,132037450,127624903,96.60%,0.68%,127624903,122126932,4.30%,55.60%,71.30%,77.60%,37.67,9,49.3,29.2,11.6,0
SRR2129200,119894752,119894752,119894752,116595118,97.20%,233190236,225789635,96.80%,0.53%,225789635,212998016,5.66%,54.80%,70.10%,76.10%,64.68,15,52.1,40,24.8,0.6
SRR2129202,122616116,122616116,122616116,117363991,95.70%,234727982,227339128,96.80%,0.48%,227339128,213672121,6.01%,56.10%,71.70%,77.40%,66.1,15,51.9,40.1,25.5,0.6
SRR2129204,109986687,109986687,109986687,107024010,97.30%,214048020,207535736,96.90%,0.53%,207535736,195881616,5.61%,55.40%,70.80%,76.70%,60.21,14,51.6,38.8,22.9,0.4
SRR2129206,108461889,108461889,108461889,103736051,95.60%,207472102,200983042,96.80%,0.50%,200983042,189138420,5.89%,56.40%,72.20%,77.90%,58.83,13,51.3,38.4,22.4,0.4
SRR2129208,91324965,91324965,91324965,88603865,97.00%,177207730,171356736,96.60%,0.56%,171356736,163047148,4.84%,55.10%,70.60%,76.60%,49.88,12,50.7,35.8,18.1,0.2
SRR2129210,72970974,72970974,72970974,69280463,94.90%,138560926,134222760,96.80%,0.52%,134222760,128380722,4.35%,55.60%,71.20%,77.10%,39.26,9,49.2,30.3,12.4,0
SRR2129212,103406406,103406406,103406406,100473544,97.10%,200947088,194911515,96.90%,0.53%,194911515,184340625,5.42%,54.80%,70.20%,76.40%,55.99,14,51.4,38.1,21.1,0.3
SRR2129214,105465701,105465701,105465701,101036210,95.80%,202072420,196120043,97.00%,0.20%,196120043,180168469,8.13%,57.50%,73.60%,79.40%,57.17,13,51.3,38.5,22.2,0.2
SRR2129216,112440325,112440325,112440325,109357658,97.20%,218715316,212245678,97.00%,0.56%,212245678,197879521,6.76%,57.20%,73.10%,79.00%,62.82,14,51.7,39.7,24.1,0.5
SRR2129218,112056826,112056826,112056826,108951037,97.20%,217902074,211131851,96.80%,0.54%,211131851,199478863,5.51%,55.30%,70.70%,76.70%,61.12,14,51.7,39.3,23.4,0.4
SRR2129220,93143910,93143910,93143910,88710745,95.20%,177421490,172451222,97.10%,0.18%,172451222,159993098,7.22%,57.80%,74.00%,79.70%,50.96,11,50.5,36.7,19,0.2
SRR2129222,104367839,104367839,104367839,100349300,96.10%,200698600,194609796,96.90%,0.38%,194609796,174154494,10.50%,54.90%,70.40%,76.50%,53.1,13,51.2,38.1,20.7,0.1
SRR2129225,92853900,92853900,92853900,90304411,97.20%,180608822,174700159,96.70%,0.54%,174700159,166300771,4.80%,55.50%,71.00%,76.80%,51.13,12,50.7,36,18.7,0.2
SRR2129227,77560169,77560169,77560169,74740239,96.30%,149480478,145278872,97.10%,0.56%,145278872,141735963,2.43%,55.20%,70.40%,76.30%,55.98,13,51.2,37.5,20.9,0.3
SRR2129229,88533608,88533608,88533608,84988971,95.90%,169977942,165052513,97.10%,0.19%,165052513,153059536,7.26%,58.70%,74.90%,80.50%,49.6,11,50.3,35.8,18.2,0.1
SRR2129231,149128978,149128978,149128978,141708282,95.00%,283416564,275629766,97.20%,0.16%,275629766,248525277,9.83%,56.20%,71.80%,77.70%,77.48,18,53,42.8,30.5,0.9
SRR2129233,114539151,114539151,114539151,111257705,97.10%,222515410,215722981,96.90%,0.50%,215722981,202369844,6.18%,56.00%,71.60%,77.80%,62.82,15,52.1,39.7,24.2,0.5
SRR2129235,115862960,115862960,115862960,112001291,96.60%,224002582,217149349,96.90%,0.53%,217149349,204716104,5.72%,55.80%,71.40%,77.60%,63.21,15,52,40,24.3,0.5
SRR2129237,107588747,107588747,107588747,103143746,95.80%,206287492,200444884,97.10%,0.39%,200444884,178123974,11.10%,55.70%,71.40%,77.50%,55.05,14,51.4,38.6,21.8,0.1
SRR2129239,166557318,166557318,166557318,157353105,94.40%,314706210,305382369,97.00%,0.16%,305382369,268080922,12.20%,57.50%,73.40%,78.80%,84.81,18,52.8,43.4,32.9,1.3
SRR2129241,121924960,121924960,121924960,118588136,97.20%,237176272,229874116,96.90%,0.56%,229874116,217284911,5.47%,54.90%,70.30%,76.20%,66.15,15,52.1,40.6,25.6,0.6
SRR2129243,146153404,146153404,146153404,142238967,97.30%,284477934,275463963,96.80%,0.51%,275463963,257332374,6.58%,55.70%,71.30%,77.20%,79.7,18,53.2,43,30.6,1.2
SRR2129245,86398877,86398877,86398877,81349698,94.10%,162699396,158196970,97.20%,0.18%,158196970,146373532,7.47%,57.30%,73.50%,79.50%,46.19,11,50.2,34.7,16.6,0.1
SRR2129247,92262646,92262646,92262646,88398660,95.80%,176797320,171563988,97.00%,0.38%,171563988,157664177,8.10%,56.60%,72.30%,78.30%,49.37,12,50.6,36,18.4,0.1
SRR2129249,107420004,107420004,107420004,102503771,95.40%,205007542,199213889,97.10%,0.16%,199213889,183838769,7.71%,57.30%,73.20%,78.90%,58.1,13,51.1,39,22.7,0.3
SRR2129251,56177936,56177936,56177936,54593327,97.10%,109186654,105679818,96.70%,0.17%,105679818,100240845,5.14%,57.20%,73.00%,78.80%,31.84,8,48.1,24.9,8.5,0
SRR2129253,135114737,135114737,135114737,130295970,96.40%,260591940,253252251,97.10%,0.15%,253252251,229031852,9.56%,56.80%,72.80%,78.70%,72.04,17,52.5,42,28.9,0.7
